chr		start	end	strand	pvalue	qvalue	meth.diff
NW_016094240.1	NW_016094240.1.944030.944030	944030	944030	+	2.89E-23	1.49E-21	-25.01845488
NW_016094240.1	NW_016094240.1.944057.944057	944057	944057	+	3.50E-16	8.08E-15	-20.7883876
NW_016094240.1	NW_016094240.1.3300907.3300907	3300907	3300907	+	5.57E-13	8.78E-12	-26.3345748
NW_016094240.1	NW_016094240.1.3300979.3300979	3300979	3300979	+	1.28E-08	0.000000108	-24.99591837
NW_016094240.1	NW_016094240.1.4780213.4780213	4780213	4780213	-	2.99E-12	4.29E-11	-27.10289671
NW_016094240.1	NW_016094240.1.4780241.4780241	4780241	4780241	-	6.04E-08	4.55E-07	-20.51045369
NW_016094240.1	NW_016094240.1.4780285.4780285	4780285	4780285	-	2.60E-16	6.06E-15	-28.54763936
NW_016094240.1	NW_016094240.1.5795056.5795056	5795056	5795056	+	1.21E-08	1.03E-07	-21.93443804
NW_016094240.1	NW_016094240.1.6559635.6559635	6559635	6559635	-	4.08E-08	3.16E-07	-23.41572342
NW_016094240.1	NW_016094240.1.7250797.7250797	7250797	7250797	-	2.33E-07	1.59E-06	-24.57813646
NW_016094240.1	NW_016094240.1.7250807.7250807	7250807	7250807	-	0.000000015	1.24E-07	-24.70880846
NW_016094240.1	NW_016094240.1.8044357.8044357	8044357	8044357	+	1.61E-14	3.05E-13	-28.03827751
NW_016094240.1	NW_016094240.1.9098160.9098160	9098160	9098160	-	3.06E-13	4.97E-12	-21.06318063
NW_016094240.1	NW_016094240.1.9345515.9345515	9345515	9345515	-	1.60E-34	2.68E-32	-38.19920454
NW_016094240.1	NW_016094240.1.9345558.9345558	9345558	9345558	-	4.36E-26	3.06E-24	-29.77270085
NW_016094240.1	NW_016094240.1.9345568.9345568	9345568	9345568	-	1.08E-57	1.36E-54	-47.05884528
NW_016094240.1	NW_016094240.1.9626341.9626341	9626341	9626341	-	5.98E-13	9.37E-12	-22.90898525
NW_016094240.1	NW_016094240.1.9626406.9626406	9626406	9626406	-	2.83E-36	5.79E-34	-35.47653959
NW_016094240.1	NW_016094240.1.9878354.9878354	9878354	9878354	-	6.11E-15	1.21E-13	-29.80939823
NW_016094240.1	NW_016094240.1.9878363.9878363	9878363	9878363	-	1.21E-18	3.69E-17	-29.4242768
NW_016094240.1	NW_016094240.1.9878373.9878373	9878373	9878373	-	1.17E-10	1.34E-09	-20.76744676
NW_016094240.1	NW_016094240.1.9878377.9878377	9878377	9878377	-	1.20E-22	5.83E-21	-37.86775207
NW_016094240.1	NW_016094240.1.10288099.10288099	10288099	10288099	+	5.66E-21	2.25E-19	30.21915738
NW_016094241.1	NW_016094241.1.1566383.1566383	1566383	1566383	-	1.41E-13	2.40E-12	-27.07038681
NW_016094241.1	NW_016094241.1.4720946.4720946	4720946	4720946	-	5.39E-08	4.10E-07	-21.43859457
NW_016094241.1	NW_016094241.1.5581704.5581704	5581704	5581704	+	1.17E-06	7.08E-06	-21.02328999
NW_016094241.1	NW_016094241.1.5659005.5659005	5659005	5659005	+	8.85E-27	6.62E-25	-34.90246027
NW_016094241.1	NW_016094241.1.5659046.5659046	5659046	5659046	+	1.10E-26	8.19E-25	-41.19615446
NW_016094241.1	NW_016094241.1.5659054.5659054	5659054	5659054	+	6.47E-10	6.66E-09	-20.52151791
NW_016094241.1	NW_016094241.1.5747579.5747579	5747579	5747579	+	5.48E-10	5.71E-09	22.44178922
NW_016094241.1	NW_016094241.1.6069027.6069027	6069027	6069027	+	3.14E-13	5.10E-12	-32.09212708
NW_016094241.1	NW_016094241.1.6069060.6069060	6069060	6069060	+	9.70E-13	1.48E-11	-29.04656319
NW_016094241.1	NW_016094241.1.6069101.6069101	6069101	6069101	+	2.85E-11	3.54E-10	-32.33656609
NW_016094241.1	NW_016094241.1.6069289.6069289	6069289	6069289	-	1.85E-09	1.78E-08	-20.26617781
NW_016094241.1	NW_016094241.1.6069302.6069302	6069302	6069302	-	1.47E-12	2.19E-11	-24.14513534
NW_016094241.1	NW_016094241.1.6069364.6069364	6069364	6069364	-	3.99E-13	6.40E-12	-22.5866412
NW_016094241.1	NW_016094241.1.6803407.6803407	6803407	6803407	-	3.68E-18	1.06E-16	-40.18883415
NW_016094241.1	NW_016094241.1.8305553.8305553	8305553	8305553	+	2.35E-23	1.23E-21	-24.70867065
NW_016094241.1	NW_016094241.1.8497238.8497238	8497238	8497238	+	1.87E-19	6.24E-18	-38.43864469
NW_016094241.1	NW_016094241.1.8497267.8497267	8497267	8497267	+	2.85E-10	3.09E-09	-24.95568136
